id,neighbourhood,room_type,availability_365,log_price,log_minimum_nights,log_number_of_reviews,log_reviews_per_month
446999,De Baarsjes - Oud-West,Private room,166,4.691347882,1.098612289,5.609471795,1.226712291
447151,Zuid,Entire home/apt,0,4.442651256,1.386294361,4.317488114,-0.127833372
450767,Centrum-Oost,Entire home/apt,61,5.541263545,1.098612289,4.262679877,-0.127833372
451408,De Pijp - Rivierenbuurt,Entire home/apt,7,5.480638923,1.386294361,3.784189634,-0.653926467
451719,Centrum-West,Entire home/apt,253,5.164785974,1.098612289,4.094344562,-0.342490309
454056,Oostelijk Havengebied - Indische Buurt,Entire home/apt,34,4.828313737,1.386294361,3.33220451,-1.078809661
460469,Oud-Oost,Entire home/apt,0,4.700480366,1.098612289,3.828641396,-0.597837001
462341,Centrum-West,Entire home/apt,16,5.164785974,1.098612289,3.258096538,-0.634878272
467103,Centrum-West,Entire home/apt,0,5.075173815,0.693147181,5.010635294,0.631271777
467581,Centrum-West,Entire home/apt,0,5.480638923,1.098612289,5.030437921,0.604315967
467852,Centrum-West,Entire home/apt,148,5.857933154,1.945910149,2.890371758,-1.560647748
474452,De Baarsjes - Oud-West,Entire home/apt,0,4.828313737,1.098612289,3.33220451,-0.967584026
480245,Oud-Oost,Entire home/apt,0,5.010635294,0.693147181,2.708050201,-1.171182982
481664,Westerpark,Private room,262,4.65396035,0.693147181,5.948034989,1.773255998
483779,Slotervaart,Private room,0,4.276666119,0.693147181,3.63758616,0.207014169
484836,De Baarsjes - Oud-West,Entire home/apt,0,4.941642423,1.098612289,3.970291914,-0.46203546
485237,Slotervaart,Entire home/apt,29,4.317488114,0,3.526360525,-0.891598119
489418,Bos en Lommer,Entire home/apt,0,4.369447852,0.693147181,4.564348191,0.139761942
494433,De Baarsjes - Oud-West,Entire home/apt,1,4.49980967,1.098612289,2.833213344,-1.560647748
495862,De Baarsjes - Oud-West,Entire home/apt,165,5.991464547,1.098612289,2.564949357,-1.660731207
498514,De Pijp - Rivierenbuurt,Entire home/apt,53,4.941642423,1.098612289,3.17805383,-1.203972804
502869,Westerpark,Entire home/apt,28,4.828313737,1.386294361,2.772588722,-1.660731207
503629,Zuid,Entire home/apt,4,4.762173935,1.386294361,2.197224577,-2.040220829
505012,Centrum-Oost,Entire home/apt,53,5.700443573,1.098612289,4.007333185,-0.371063681
505650,Zuid,Private room,242,4.941642423,1.098612289,4.682131227,0.300104592
505804,Westerpark,Entire home/apt,0,4.356708827,1.609437912,4.49980967,0.076961041
510836,Centrum-West,Entire home/apt,287,6.551080335,1.945910149,4.682131227,0.364643114
514946,Watergraafsmeer,Entire home/apt,0,4.787491743,1.609437912,1.791759469,-2.407945609
515088,Noord-Oost,Private room,327,4.934473933,0.693147181,0.693147181,-1.560647748
515921,Zuid,Entire home/apt,61,5.043425117,0.693147181,4.219507705,-0.210721031
517852,Centrum-West,Entire home/apt,4,5.669880923,1.386294361,2.564949357,-1.832581464
517996,Centrum-West,Entire home/apt,127,5.075173815,1.098612289,2.995732274,-1.386294361
522471,Bos en Lommer,Entire home/apt,22,5.192956851,1.791759469,3.044522438,-1.237874356
528022,Westerpark,Private room,290,4.700480366,0.693147181,5.056245805,1.60743591
528227,Centrum-Oost,Entire home/apt,35,4.844187086,3.555348061,3.33220451,-1.078809661
528594,Slotervaart,Private room,0,4.382026635,0,4.276666119,-0.127833372
530136,Centrum-Oost,Private room,0,4.007333185,0.693147181,5.752572639,1.32972401
533623,Zuid,Entire home/apt,0,5.010635294,1.098612289,3.663561646,-0.400477567
538723,Watergraafsmeer,Entire home/apt,30,4.941642423,1.386294361,3.931825633,-0.478035801
539036,Centrum-Oost,Entire home/apt,250,5.66296048,1.098612289,4.060443011,-0.328504067
539579,De Baarsjes - Oud-West,Private room,243,4.17438727,0.693147181,5.159055299,0.774727168
539700,De Baarsjes - Oud-West,Entire home/apt,0,4.553876892,1.386294361,2.995732274,-1.427116356
540194,Centrum-West,Entire home/apt,108,5.521460918,1.609437912,2.772588722,-1.609437912
543930,Oud-Oost,Entire home/apt,0,4.934473933,1.386294361,1.945910149,-2.525728644
543932,Westerpark,Entire home/apt,348,5.686975356,1.386294361,4.691347882,0.270027137
544506,Bos en Lommer,Entire home/apt,327,5.298317367,1.386294361,3.951243719,-0.430782916
546221,Centrum-Oost,Entire home/apt,0,5.293304825,0.693147181,5.257495372,0.867100488
549310,De Baarsjes - Oud-West,Entire home/apt,1,5.438079309,0,3.663561646,-0.174353387
550783,De Baarsjes - Oud-West,Entire home/apt,0,4.700480366,0.693147181,3.135494216,-0.653926467
551606,Oostelijk Havengebied - Indische Buurt,Entire home/apt,40,5.700443573,1.098612289,3.828641396,-0.46203546
552145,De Baarsjes - Oud-West,Entire home/apt,0,3.912023005,1.609437912,2.890371758,-1.514127733
555225,Westerpark,Entire home/apt,0,4.828313737,0.693147181,2.302585093,-1.514127733
555399,De Baarsjes - Oud-West,Entire home/apt,0,4.787491743,0,3.091042453,-1.30933332
556829,Buitenveldert - Zuidas,Entire home/apt,125,4.59511985,1.098612289,2.944438979,-1.46967597
561297,Centrum-West,Private room,82,4.859812404,0,2.708050201,-1.386294361
561713,Oud-Oost,Entire home/apt,0,5.272999559,1.386294361,1.609437912,-2.813410717
563682,Centrum-West,Entire home/apt,225,5.521460918,2.302585093,0.693147181,-3.506557897
564826,De Pijp - Rivierenbuurt,Entire home/apt,0,5.010635294,1.386294361,2.772588722,-1.660731207
565735,Centrum-Oost,Entire home/apt,252,5.164785974,1.791759469,4.736198448,0.322083499
568005,Zuid,Entire home/apt,46,4.941642423,0.693147181,4.007333185,-0.385662481
568446,Centrum-Oost,Private room,2,4.86753445,1.609437912,4.454347296,0.058268908
569499,Oud-Oost,Entire home/apt,5,4.553876892,1.609437912,1.098612289,-1.714798428
570753,Zuid,Private room,222,4.17438727,1.098612289,5.814130532,1.401182974
571029,De Baarsjes - Oud-West,Entire home/apt,0,5.010635294,1.098612289,2.302585093,-2.120263536
571130,Centrum-West,Entire home/apt,0,4.828313737,1.098612289,1.609437912,-2.207274913
572208,De Baarsjes - Oud-West,Entire home/apt,0,5.327876169,0.693147181,3.258096538,-0.994252273
575603,Centrum-Oost,Entire home/apt,25,5.501258211,1.609437912,2.397895273,-1.660731207
575615,Centrum-Oost,Entire home/apt,0,5.298317367,0.693147181,3.465735903,-0.94160854
